smiles,log_vp(pa),split
CC1(C)[C@H](C=C(Cl)Cl)[C@H]1C(=O)OCc1c(F)c(F)cc(F)c1F,-3.39799818,train
CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,-8.270885155,train
O=P(OCC(Br)CBr)(OCC(Br)CBr)OCC(Br)CBr,-1.601937789,train
CC(O)CO,1.21242199,train
OCCCCCCCCCCCCCCO,-4.45,train
C=C(C)C(=O)OCCN(C(C)C)C(C)C,0.849171175,train
O=C1C=C(N2CC2)C(=O)C(N2CC2)=C1N1CC1,-3.343625778,train
NN(c1ccccc1)c1ccccc1,-1.184606691,train
O=P(OCC(Cl)CCl)(OCC(Cl)CCl)OCC(Cl)CCl,-4.513376859,train
CCC(CC)(C1=CC=C(C=C1)[N+](=O)[O-])[N+](=O)[O-],-0.003488328,train
COc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,-1.102782988,train
NC(=O)N=NC(N)=O,-7.600922513,train
CCOCC(C)OC(C)=O,2.355344226,train
CN,5.415731799,train
O=S(=O)(Oc1ccc(Cl)cc1)c1ccccc1,-3.693261107,train
C=CN(C)N=O,3.077203315,train
CCCCCCCCCCCCCCCCCCCC(=O)OC,-3.41700036,train
O=C(O)c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],-5.939849413,train
CCCCCCCCCCCCCCCCCCCCCCO,-5.096953445,train
CC(C)CN,4.266090273,train
COC1=C(C=C(C=C1)CCC(=O)O)OC,-0.53313238,train
OB(O)O,-3.670984712,train
CCCSc1cc(OC)c(CCN)cc1OC,-2.814406855,train
N#Cc1ccccc1,2.006431659,train
CC/C=C\CCOC(=O)[C@H](C)CC,1.185,train
Fc1cccc(F)c1,4.042708803,train
CC(=O)c1ccc([N+](=O)[O-])cc1,-0.494893453,train
CCCCC(CC)COP(=O)(O)OCC(CC)CCCC,-5.191607377,train
CC(C)CCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC(C)C,-4.152123323,train
O=C1OCc2ccccc21,-0.57409818,train
CCOP(=S)(OCC)OCCSCC,-0.875,train
O=C1CCO1,2.656282235,train
C=CCOC(C)=O,3.58735756,train
CC(C)Cl,4.835078718,train
c1ccc2c(c1)cc1ccc3cccc4c5ccccc5c2c1c34,-7.193863458,train
O=C(OCc1ccccc1)c1ccccc1O,-1.983010092,train
CCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2.642,train
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,0.965914317,train
C1N2CN3CN1CN(C2)C3,-0.49131899,train
CCCCOC(=O)c1ccccc1C(=O)OCC(CC)CCCC,-2.502192692,train
C1CCC(CC1)(C2CCCCC2=O)O,0.595496222,train
c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,-6.07175048,train
CCCC(C)C(C)C,3.504581036,train
CC1(C)[C@H](C=C(Cl)Cl)[C@H]1C(=O)O[C@@H](C#N)c1cccc(Oc2ccccc2)c1,-6.721,train
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,-1.578275573,train
CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,-6.018980251,train
CCCCCCCCCCCN,0.462,train
O=C1CCCCCC1,2.221803569,train
Cc1cccc2cccnc12,0.47421356,train
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.476030988,train
CCCCC(CC)COP(=O)(O)O,-4.273044704,train
COc1cc(C(=O)O)cc(OC)c1O,-3.411211706,train
CCOCCC(=O)OCC,2.079137814,train
CC1CC(O)CC(C)(C)C1,1.124895305,train
Clc1cccc(Cl)c1Cl,1.4196412,train
CCCCCCCCC=CCCCCCCCC(=O)O,-3.954981369,train
CC(C)OP(OC(C)C)OC(C)C,1.556259069,train
CI,4.706317995,train
CCCCC[C@@H](O)CC,1.53310182,train
O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2.88456315,train
CCCCCCCC(=O)OCC(COC(=O)CCCCCCC)OC(=O)CCCCCCC,0.927326931,train
Clc1ccc(-c2c(Cl)cc(Cl)c(Cl)c2Cl)c(Cl)c1,-2.9,train
